_id,writer,option,grade,contents
658cd58d443b9d879d0c8205,djfl****,선택 옵션\n대형 50매 2개+증정,평점 별 5점 중 5,너무 저렴한거 구입했다가 별로여서  다른제품 ？다가 적당한가격에 국산이라서 구입했는데 착용감도 재질도 마음에듭니다
658cd593443b9d879d0c8207,tyor****,선택 옵션\n500ml,평점 별 5점 중 5,"집에서 먹는 물만큼은 깨끗하고 좋은 물을 먹고 싶어 삼다수를 마시고 있습니다. 수질 점검을 거친 암반수라 믿을 수 있고, 미네랄과 무기질 등의 영양분을 얻을 수 있어 좋아요. 목넘김도 부드러워 부담없이 마시기 좋습니다."
658cd596443b9d879d0c8208,차니ne,선택 옵션\n2L,평점 별 5점 중 5,슈팅배송이라 전날 오후에 주문했는데 아침 일찍 도착했습니다.\n믿고 마실 수 있는 생수는 삼다수라 생각하기에 언제나 우리 집 생수는 삼다수만을 이용하고 있습니다.\n무라벨 제품을 주로 많이 이용하고 있습니다.\n생산일이 11월 10일인 생수입니다. 
658cd59a443b9d879d0c8209,베스트후기,선택 옵션\n2L,평점 별 5점 중 5,"십일절에는 삼다수 구매하는 날 ㅋㅋ\n11일에 구매했는데, 구입한 다음날 받았어요.\n완전 빠름.\n무라벨이라 재활용할 때도 간편해서 좋아요.\n9월 구입. 7월에 제조된 물로 보내주셨네요."
658cd59d443b9d879d0c820a,11st리뷰,선택 옵션\n2L,평점 별 5점 중 5,"십일절에는 삼다수 구매하는 날 ㅋㅋ\n11일에 구매했는데, 그날 출고 되었어요.\n완전 빠름.\n무라벨이라 재활용할 때도 간편해서 좋아요.\n10월 구입. 8월에 제조된 물로 보내주셨네요.\n만족합니다."
658cd5a0443b9d879d0c820b,쌩맥,선택 옵션\n2L,평점 별 5점 중 5,구매내용 : 물을 다 먹어서 물을 사려고 찾아 보다가 삼다수에 픽당해 결국 구매하고 말았습니다. \n\n취식내용 : 더이상의 설명이 필요없는 생수 고민없이 마실 수 있는 삼다수 \n\n배송내용 : 사진과 같이 배송되었으며 파손여부 없이 배송되었습니다. \n\n개인적인 의견이라도 상세히 작성하면 좋을 것 같아 \n실사용을 하며 느꼈던 부분에 대해 개인적인 의견을 작성하였습니다.\n혹시라도 문제가 될 시 바로 삭제토록 하겠습니다.\n본 내용은 지극히 개인적인 의견이니 오해 없으시기 바랍니다.\n더보기
658cd5a3443b9d879d0c820c,택배순이,선택 옵션\n2L,평점 별 5점 중 5,캠핑갈 때 생수 필요해서 구매했어요.\n마트갔는데 마트 가격보다\n11번가 가격이 저렴해서 ㅋㅋ\n냉큼 11번가에서 주문했습니다.\n배송도 주문한 다음날 받았어요. 캐빠름빠름.\n매우 만족합니다.
658cd5a6443b9d879d0c820d,사마뚝,선택 옵션\n2L,평점 별 5점 중 5,먹는 샘물은 제주삼다수가 진리죠ㅎㅎ\n겨울이라 생수 마실일이 좀 줄어들긴 했으나 \n가격이 저렴하면 언제라도 재어놓을 생각으로 구매합니다\n이번에 2L*72펫 구매했었는데 집에 재고?가 20펫정도\n있었습니다.\n걍 두고두고 마시면서 한번씩 부모님집이나 동생네\n들를때 가져가곤 합니다.ㅎㅎ\n더보기
658cd5a9443b9d879d0c820e,gusw*****,선택 옵션\n2L,평점 별 5점 중 5,빠른 슈팅배송덕에 하루만에 와서 안심\n어제 9시46분에 구매했는데 오늘 11시가 되기전에 도착했어요. 자주 구매하는 삼다수 빠르게와서 걱정없어서 쟁여놓지않아도 되겠어요.\n자주 애용하겠습니다.
658cd5ac443b9d879d0c820f,skdi****,선택 옵션\n2L,평점 별 5점 중 5,파손되거나 터짐없이 잘 왔어요\n아기 분유물로 사용하고 있습니다.\n기한도 긴데 동영상으로는 잘 안보여서 사진 추가해요
658cd5af443b9d879d0c8210,lmo4***,선택 옵션\n2L,평점 별 5점 중 5,물맛은 삼다수죠~~~~\n믿고 구매합니다.\n조금이라도 다른곳 보다 착하면 바로 구매합니다.
658cd5b2443b9d879d0c8211,hits**,선택 옵션\n2L,평점 별 5점 중 5,삼다수 물맛좋아서 계속 재구매해요.  마트안가고 무거운 생수 배달받아서 감사하네요^^
658cd5b5443b9d879d0c8212,십일절좋아요,선택 옵션\n2L,평점 별 5점 중 5,삼다수 개인적으로 가장좋아하는 생수라서 계속 재구매중이네요 
658cd5b8443b9d879d0c8213,"반짝반짝빛나는,",선택 옵션\n2L,평점 별 5점 중 5,생수는 삼다수만 마셔요! 십일절 특가떠서 왕창 쟁겼네요! 오랜만에 무라벨로 받아보는데 넘 좋아요!!! 옮기느라 무겁고 힘드셨을 택배기사님께 감사드립니다 :)
658cd5bb443b9d879d0c8214,dool****,선택 옵션\n2L,평점 별 5점 중 5,늘 믿고 주문하는 삼다수!\n배송도 빠르고 파손도 없어요:)\n무라벨이라 재활용할때 버리기도 편해요
658cd5be443b9d879d0c8215,star*************,선택 옵션\n2L,평점 별 5점 중 5,물이 조금씩 흘러서 왔어요...\n다음에는 잘 배송되길 기원합니다~^^
658cd5c1443b9d879d0c8216,꼬꼬미37,선택 옵션\n2L,평점 별 5점 중 3,"12,560원 구입. 11,900원대에도 구입할수 있었는데 담날되니깐 오르더라구요. 생수떨어져서 구입했어요. 삼다수만 먹는데 미세 플라스틱 이슈 있어서 찜찜하긴해요"
658cd5c4443b9d879d0c8217,gust**,선택 옵션\n2L,평점 별 5점 중 5,슈팅배송으로 하루만에 도착!\n마트보다는 저렴해서 자주 이용하고 있습니다.\n유통기한도 넉넉해요.
658cd5c7443b9d879d0c8218,찐한보리차,선택 옵션\n500ml,평점 별 5점 중 5,삼다수는 밥지을때나 국만들때 등등 \n자주 사용중이에요 저렴히 구입했어요 
658cd5ca443b9d879d0c8219,iamteacher,선택 옵션\n2L,평점 별 5점 중 5,비리지않은 깔끔한맛 제주삼다수 너무좋어요
658cd5cd443b9d879d0c821a,jihe*****,선택 옵션\n500ml,평점 별 5점 중 5,삼다수물을 좋아하는 우리가족~\n착한가격에 좋은 상품 구매완료.
658cd5d4443b9d879d0c821c,코코리2,선택 옵션\n★타임딜 단독특가 ★:03. 유기농 센시티브 중형 14PX1+1팩＃,평점 별 5점 중 4,새로나온 브랜드에 신규 연옌모델이라니ㅠ\n리버티 생리대를 믿고 사는건  1.국제 오가닉마크 받은 유기농 순면커버 2.독일 더마테스트 엑설런트 등급 받은 이유였어요~ 그럼에도 중국산이라는게 찜찜하지만ㅠ 가성비 넘치는 차칸제품이니 한번 써보고 판단하렵니다~유통기한은 2026년 9월까지니 참고하셔요~^^
658cd5d7443b9d879d0c821d,냠냠냠냠냐냠,선택 옵션\n옵션명 1:12. 유기농 순면커버 오가네이처슬림 중형 14PX3팩,평점 별 5점 중 4,1년간 넉넉히 사용할것같아요\n라이너랑 대형 좋네요.
658cd5da443b9d879d0c821e,thek****,선택 옵션\n옵션명 1:07.유기농 Sap Free 센시티브 롱라이너 20PX8팩,평점 별 5점 중 5,저렴해서 고민하다가 샀는데\n가격 보다 괜찮은듯 해요\n엄청 얇지도 않고 데일리로 사용하기 괜찮아요 \n잘 사용하고 재주문드릴게요 \n감사합니다 
658cd5dd443b9d879d0c821f,마카롱의늪,선택 옵션\n★타임딜 단독특가 ★:02. 딥슬립 입는오버나이트 대형 6P＃,평점 별 5점 중 5,평소 66~66반 사이즈인데  편안하게 착용됩니다  사이즈가 맞지않을까하는 우려로 체험팩 구매했는데  많이 구매할걸 그랬어요~   옆으로 자도 새지않고 만족합니다
658cd5e0443b9d879d0c8220,딸딸딸딸맘,선택 옵션\n식약처장상 제품안전부분 1위:01.순면커버 입는오버나이트 중형 4PX5팩,평점 별 5점 중 4,처음 보는 제품인데 타임딜로 저렴하게 구입했네요\n제품 사용해본결과 흡수도 잘되고 좋은것 같습니다.\n딜 뜨면 종종 구입해서 쟁여둬야 겠어요
658cd5e3443b9d879d0c8221,메데아,선택 옵션\n식약처장상 제품안전부분 1위:10.유기농 오가네이처슬림 중형 14PX5팩,평점 별 5점 중 5,생리대를 인터넷으로 구매하는 건 처음인데 . 일단 입는 오버나이트 사용해보았는데 가격도 저렴하고 대만족 입니다! 다른 건 뜯어보지는 않았지만 믿고 구매했습니다. 다음에도 또 사려고요!
658cd5e6443b9d879d0c8222,Sunnyluv,선택 옵션\n★타임딜 단독특가 ★:06. 니어스킨 오버나이트 10PX1+1팩＃,평점 별 5점 중 5,오버나이트는 양많은 날 밤에만 쓰는데 이 제품은 처음 구매해봐요 좋길 기대해요
658cd5e9443b9d879d0c8223,내스타일,선택 옵션\n필수선택:01.리버티 중형12P x2팩+중형1팩증정,평점 별 5점 중 5,"리버티 오가네이처 중형과 대형 2세트 주문으로 팬티라이너 1개 증정으로 받았어요. 가격도 행사가격이라 저렴했어요. 나트라, 본, 라네이처등 유기농 생리대를 주로 사용했었는데 리버티라는 새로운 브랜드의 생리대도 100%유기농 순면커버에 화학 흡수체를 사용하지 않고(오버나이트는 소량 들어 있대요) 천연 펄프가 흡수를 대신해서 소중한 내 몸을 지켜줄 수 있을 것 같아서 망설임 없이 구입 했습니다. \n \n마침 생리대를 받았을때 생리주기여서 바로 사용을 했어요. \n유통기한도 2022년으로 넉넉 했구요. \n \n저는 대형을 먼저 사용했는데 28cm의 길이에 동영상에서처럼 패드 뒷부분이 넓게 만들어져서 약간 미니 오버나이트 처럼 활동을 할때도 샘걱정이 덜했어요. \n \n순면커버는 손으로 살살 만져봤을땐 부드러운지 모르겠던데 막상 착용을 하니 피부에 편했어요. \n \n흡수부분에서는 순간 흡수는 빨랐어요. 그런데 아무래도 패드 자체가 슬림하기도 하고 펄프흡수체라서 그런지 교체시기가 조금은 빨랐어요. 슬림해서 옷 입었을 때 가벼운 느낌이 들어서 좋았어요. \n \n개선 했으면 하는 부분은 겉포장외에 각각의 패드에 사이즈 표기가 없어서 중형과 대형을 꺼내고 보니 잘 구분이 안되네요. \n또 패드 포장지를 제거할 때 스티커부분이 잘 떨어져서 다시 붙여서 돌돌 말아 버려야 하는거 조금 불편 하더라구요. \n \n이 부분들 개선이 된다면 좋겠습니다^^ \n전체적으로 만족스러워 재구매 의사 있습니다!!!\n더보기"
658cd5ed443b9d879d0c8224,옛방울,선택 옵션\n★ 그랜드십일절 BIG DEAL ★:15. 유기농 오가네이처슬림 롱라이너 20PX6팩★,평점 별 5점 중 5,"너무 얇지 않아 좋고 길이도  굿..  \n평상시,생리 시작전이나 끝날무렵에 사용해도 될듯."
658cd5f0443b9d879d0c8225,분홍토끼야,선택 옵션\n★타임딜 단독특가 ★:02. 딥슬립 입는오버나이트 대형 6P＃,평점 별 5점 중 5,"저만 사용하는 용품이라 많이 살수가 없는데 체험팩 구매해서 사용해볼 수도 있고,  적은 양이라서좋네요"
